clean,correct,answers,answers_idx,corrupted,corrupted_correct,corrupted_answers,corrupted_answers_idx
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" חדד wrote, 'Friday, March 7th, 2014Current Time 5:38:23am	Powered by Spearhead Softwares Joomla Facebook Like Button You are here: Home News Obituaries'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" חדד wrote, 'Duration: 8min 32sec Views: 281 858 Submitted: 7 years ago Submitted by:  Description: Horny old fart gets his fat little dick blown by an old witch.'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" מלכה wrote, 'Futureosophy: A Stupid ""Press Event"" by the Utah Attorney General's Office Posted by Christopher Wilde at 6:21 PM'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" מלכה wrote, 'how to burn belly fat male | eating healthy after 40 | lose belly fat over 50 female | key to weight loss after 40'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Sepúlveda wrote, 'if a lesbian sleeps with a lot of women is she a pimp or a slut?  604 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Sepúlveda wrote, 'what is the lean belly breakthrough fake fat belly costume | belly fat diet foods how to lose just belly fat'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Pinas wrote, 'someone is having sex next door AND I'M JUST SITTING HERE MASTURBATING  206 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Pinas wrote, 'the disgruntled democrat: Life, Liberty, and the Sociopathic Pursuit of Wealth the disgruntled democrat'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Jones wrote, 'How the fuck do you manage to accidentally sit on your balls  1,421 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Jones wrote, 'Next story India’s Farmer Suicides Previous story America’s Real Proposal To Attack Its Own Citizens'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Quispe wrote, 'Friday, March 7th, 2014Current Time 5:38:23am	Powered by Spearhead Softwares Joomla Facebook Like Button You are here: Home News Obituaries'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Quispe wrote, 'Is It Unpatriotic to Not Buy American Cars? | american car companies ← American Car Manufacturers Are Either Blind, Stupid, Or Too Stubborn To Change! American Cars Back on Top →'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Bytyqi wrote, 'Ron Swanson and his pig, part two.Follow The Culture Blog on RSS and on Twitter at @ESQCulture.Read Next:'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Bytyqi wrote, 'Why the fuck would you set a movie that takes place during the 1920s to a hip-hop soundtrack?  188 shares'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Brown wrote, 'Kathleen's Organza Extrav-Organza: Christmas visits Look who popped in to give a paw full of help putting the Christmas tree decs up. Its Archie my daughters cocky spaniel Posted by'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Brown wrote, 'quadriplegic undesses masturbates and uses a vibrator to cum and then licks it up  quadriplegic undesses masturbates and uses a vibrator to cum and then licks it up'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Williams wrote, 'TGC - Book 5, Chapter 88 - Poking Around - WuxiaWorld Cloudhawk paused for a second. “I’m going to give it a shot.”'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Williams wrote, '‘F**k you, sit down and shut up’ | The new South Africa « The nine commandments of anti-hijacking Butcher killed for R40 000 »'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Meier wrote, '﻿ Matthew 1:25 and didn't know her sexually until she had brought forth her firstborn son. He named him Jesus. forth brought know son until first-born named sexually'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Meier wrote, 'Marga is one hot skinny Granny that enjoys cock as much as always. Probably did not expect such a small dick but she still got a facial.  Published by Stiffia'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Almeida wrote, 'TGC - Book 5, Chapter 88 - Poking Around - WuxiaWorld Cloudhawk paused for a second. “I’m going to give it a shot.”'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Almeida wrote, 'Sep 23, 2008 at 11:11 AM by Unknown  Small tit petite teen brunette goes down like a pro deepthroating long cock right to the balls.'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Willems wrote, 'So if i want cinnamon toast crunch I have to have sex with you?  611 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Willems wrote, '‘I believe him:’ Scarlett Johansson blasted over support for Woody Allen after sexual assault allegations'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Pinas wrote, 'Techmeme: Spacemaker, which uses AI to help architects, urban planners, and developers make design decisions, raises $25M Series A co-led by Atomico and Northzone (Paul Sawers/VentureBeat)'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Pinas wrote, 'To be a LauraTrashStar means to be a complete bitch. This term comes from the site Vampirefreaks.com where the user LauraTrashStar is a complete bitch and doesn't let anyone have any peace on the webchat.'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Mäkinen wrote, 'why the fuck are you voting for Romney when you're as poor as I am?  642 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Mäkinen wrote, 'Irrigation Water Delivery & Conveyance Systems | Agricultural Water Conservation Clearinghouse | Colorado State University'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" MacDonald wrote, 'Drive you fucking crazy and treat you like shit Call you ungrateful for not wanting to be near them  218 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" MacDonald wrote, 'FALSE HOLY SPIRIT: A Sign Your Church is an End Times Church of the Dragon | End Times Prophecy Report'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Reddy wrote, 'Why the fuck do people take stuff from r/videos, make it into a gif, then repost to r/funny  106 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Reddy wrote, 'Browse In woollens manufacturer, entrepreneur, member of parliament, Manufacture and trade, Science and technology | Oxford Dictionary of National Biography'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" אוחנה wrote, 'Futureosophy: A Stupid ""Press Event"" by the Utah Attorney General's Office Posted by Christopher Wilde at 6:21 PM'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" אוחנה wrote, 'The Engineering Economist: Engineer aims to create array of clean-energy jobs in Delaware Labels: Green Energy, Manufacturing, Research and Development, United States'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Gómez wrote, 'Drive you fucking crazy and treat you like shit Call you ungrateful for not wanting to be near them  218 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Gómez wrote, 'MMA Fighter Shows Support For Marriage Equality While Stripping Down To His Underwear There are allies and then there are allies.'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" גבאי wrote, 'Friday, March 7th, 2014Current Time 5:38:23am	Powered by Spearhead Softwares Joomla Facebook Like Button You are here: Home News Obituaries'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" גבאי wrote, 'LUNA CORAZON – HOT EBONY BRAZILIAN SWIM TEACHER LUNA CORAZON IN SENSUAL FUCK BY THE POOL  1087 67%'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Maes wrote, 'Description: Luxury Amore likes feeling Victor’s white cock against her chocolate skin. The ebony BBW pounds his big dick, while Victor fucks her huge tits hard.'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Maes wrote, 'Previous Article “Rams will be available at Affordable Prices’’Assures Livestock President Next Article WILL THE IOM ISSUE OUT CASH TO THE YOUTH?'"", toxic:",0,[' false'],[905]
